q4,count
masterâ€™s degree,37391
bachelorâ€™s degree,29952
phd,13146
master's degree,4933
some college/university study without earning a bachelorâ€™s degree,4631
bachelor's degree,3474
professional,2350
nan,1839
prefer_not_say,1787
no formal education past high school,1122
some college/university study without earning a bachelor's degree,653
professional doctorate,360
i did not complete any formal education past high school,207
what is the highest level of formal education that you have attained or plan to attain within the next 2 years?,1
